分类,English,德语/German,意大利语/Italian,西班牙语/Spanish,法语/French,波兰语/Polish,荷兰语/Dutch,爱尔兰语/Irish,日语/Japanese,阿拉伯语/Arabic,葡萄牙语/Portuguese
通用,Upload video/photo (max file size: 50mb),Video/Foto hochladen (max. Dateigröße: 50 MB),Carica video/foto (dimensione massima file: 50 MB),Subir video/foto (tamaño máximo: 50 MB),Télécharger une vidéo/photo (taille max : 50 Mo),Prześlij wideo/zdjęcie (maks. rozmiar pliku: 50 MB),Video/foto uploaden (max. bestandsgrootte: 50 MB),Uaslódáil físeán/grianghraf (uas-mhéid comhaid: 50mb),動画/写真をアップロード（最大ファイルサイズ：50MB）,رفع فيديو/صورة (الحد الأقصى لحجم الملف: 50 ميجابايت),Enviar vídeo/foto (tamanho máximo: 50 MB)
说明,💡 Want a faster resolution? Upload a video/ photo showing the issue—it can help us process your replacement or claim much faster.,"💡 Möchten Sie eine schnellere Lösung? Laden Sie ein Video/Foto hoch, das das Problem zeigt – das hilft uns, Ihren Ersatz oder Anspruch viel schneller zu bearbeiten.",💡 Vuoi una risoluzione più rapida? Carica un video/foto che mostra il problema: può aiutarci a elaborare la sostituzione o il reclamo molto più velocemente.,💡 ¿Quieres una resolución más rápida? Sube un video/foto que muestre el problema: puede ayudarnos a procesar tu reemplazo o reclamo mucho más rápido.,💡 Vous voulez une résolution plus rapide ? Téléchargez une vidéo/photo montrant le problème – cela peut nous aider à traiter votre remplacement ou réclamation beaucoup plus rapidement.,💡 Chcesz szybszego rozwiązania? Prześlij wideo/zdjęcie pokazujące problem – pomoże nam to znacznie szybciej przetworzyć wymianę lub reklamację.,💡 Wil je een snellere oplossing? Upload een video/foto van het probleem – dit helpt ons je vervanging of claim veel sneller te verwerken.,💡 Ar mhaith leat réiteach níos tapúla? Uaslódáil físeán/grianghraf a thaispeánann an fhadhb – cabhróidh sé linn do athsholáthar nó d'éileamh a phróiseáil i bhfad níos tapúla.,💡 より迅速な解決をご希望ですか？問題を示す動画/写真をアップロードしてください。交換や請求の処理を大幅に迅速化できます。,💡 تريد حلًا أسرع؟ ارفع فيديو/صورة توضح المشكلة – يمكن أن يساعدنا في معالجة الاستبدال أو المطالبة بشكل أسرع بكثير.,💡 Quer uma resolução mais rápida? Envie um vídeo/foto mostrando o problema – isso pode nos ajudar a processar sua substituição ou reclamação muito mais rápido.
通用,Shipping address,Lieferadresse,Indirizzo di spedizione,Dirección de envío,Adresse de livraison,Adres wysyłki,Verzendadres,Seoladh seolta,配送先住所,عنوان الشحن,Endereço de envio
说明,"For replacement shipping only, if needed","Nur für Ersatzversand, falls erforderlich","Solo per la spedizione di sostituzione, se necessario","Solo para envío de reemplazo, si es necesario","Uniquement pour l'expédition de remplacement, si nécessaire","Tylko do wysyłki zastępczej, jeśli to konieczne","Alleen voor vervangende verzending, indien nodig","Le haghaidh seoladh athsholáthair amháin, más gá",必要な場合のみ、交換品の発送に使用します,لشحن الاستبدال فقط، إذا لزم الأمر,"Somente para envio de substituição, se necessário"
说明,"✉️ Prefer direct email? You can also reach us at contact@iniu.shop, though standard response times may apply.","✉️ Lieber direkte E-Mail? Sie erreichen uns auch unter contact@iniu.shop, wobei übliche Antwortzeiten gelten können.","✉️ Preferisci l'email diretta? Puoi anche contattarci a contact@iniu.shop, anche se potrebbero applicarsi tempi di risposta standard.","✉️ ¿Prefieres el correo directo? También puedes contactarnos en contact@iniu.shop, aunque pueden aplicarse tiempos de respuesta estándar.","✉️ Vous préférez l'e-mail direct ? Vous pouvez aussi nous joindre à contact@iniu.shop, des délais de réponse standard pouvant s'appliquer.","✉️ Wolisz bezpośredni e-mail? Możesz też skontaktować się z nami pod adresem contact@iniu.shop, choć mogą obowiązywać standardowe czasy odpowiedzi.","✉️ Liever direct e-mailen? Je kunt ons ook bereiken via contact@iniu.shop, al kunnen standaard responstijden gelden.","✉️ Is fearr leat ríomhphost díreach? Is féidir leat teagmháil a dhéanamh linn freisin ag contact@iniu.shop, cé go bhféadfadh amanna freagartha caighdeánacha a bheith i bhfeidhm.",✉️ 直接メールをご希望ですか？contact@iniu.shop でもご連絡いただけますが、標準の返信時間が適用される場合があります。,✉️ تفضل البريد الإلكتروني المباشر؟ يمكنك أيضًا التواصل معنا على contact@iniu.shop، مع العلم بأن أوقات الاستجابة القياسية قد تنطبق.,"✉️ Prefere e-mail direto? Você também pode nos contatar em contact@iniu.shop, embora possam ser aplicados tempos de resposta padrão."
通用,First name,Vorname,Nome,Nombre,Prénom,Imię,Voornaam,Céadainm,名,الاسم الأول,Primeiro nome
通用,Last name,Nachname,Cognome,Apellido,Nom de famille,Nazwisko,Achternaam,Sloinne,姓,اسم العائلة,Sobrenome
通用,Email address,E-Mail-Adresse,Indirizzo email,Dirección de correo electrónico,Adresse e-mail,Adres e-mail,E-mailadres,Seoladh ríomhphoist,メールアドレス,عنوان البريد الإلكتروني,Endereço de e-mail
通用,Confirm email address,E-Mail-Adresse bestätigen,Conferma indirizzo email,Confirmar dirección de correo,Confirmer l'adresse e-mail,Potwierdź adres e-mail,Bevestig e-mailadres,Deimhnigh seoladh ríomhphoist,メールアドレスを確認,تأكيد عنوان البريد الإلكتروني,Confirmar endereço de e-mail
通用,Verification,Verifizierung,Verifica,Verificación,Vérification,Weryfikacja,Verificatie,Fíorú,確認,التحقق,Verificação
按钮,Clear all answers,Alle Antworten löschen,Cancella tutte le risposte,Borrar todas las respuestas,Effacer toutes les réponses,Wyczyść wszystkie odpowiedzi,Alle antwoorden wissen,Glan gach freagra,すべての回答をクリア,مسح جميع الإجابات,Limpar todas as respostas
